"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Caribbean small states","CSS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","259.900451660156","300.381103515625","321.217193603516","346.34033203125","443.930541992188","490.908172607422","573.916625976563","660.477661132813","713.540954589844","751.617980957031","748.3681640625","800.560485839844","819.980346679688","819.419616699219","776.585205078125","771.688720703125","749.788940429688","","",
"Czech Republic","CZE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255.29187011719","1219.72082519531","1220.23962402344","1316.56701660156","1349.70153808594","1462.96545410156","1464.42150878906","1548.10400390625","1596.11499023438","2362.365234375","2557.30590820313","2698.59741210938","2864.5185546875","2749.4501953125","2781.8544921875","2912.62890625","3149.99145507813","3249.88940429688","3418.46166992188","","",
"Germany","DEU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2811.61376953125","2875.74072265625","2898.56689453125","3107.28271484375","3148.80126953125","3231.71752929688","3253.51977539063","3297.09106445313","3318.869140625","3349.64575195313","3452.2099609375","3597.23876953125","3751.78149414063","3940.73583984375","4077.76708984375","4211.25439453125","4379.0751953125","4399.67236328125","4380.5625","","",
"Djibouti","DJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3178.10864257813","3318.56201171875","","3561.48510742188","","3632.88061523438","4758.171875","4622.36767578125","4846.94677734375","5201.29443359375","5301.9462890625","5519.3154296875","6496.76318359375","6660.1435546875","6743.89794921875","7025.99462890625","7155.95458984375","7168.171875","7198.1806640625","","",
